text,label
Yasopp and Dragon are not bad dads. Everything they've done is to protect their sons' future.,hot_take
Shanks made a vivre card of Luffy. Ain't no way Shanks didn't know the importance of the fruit. So if he makes a vivre card he knows at all times where Luffy is and if Luffy ever died he would know the fruit was reintroduced in the world. He was probably sweating bullets During impel down watching that thing whither while pointing towards a goverment prison and then towards Marineford.,analysis
"Ennies Lobby is where joyboy dies. The shape of the island, and the fact that the sun never down makes me believe",hot_take
The only time Sanji wasn't pretending to be a creep was at the beginning of the time skip. Bro was so down bad after 2 years in he'll. Every other time he's been faking it so that he could do nice things for women without making them feel like they owe him something. Biggest clue is the Wano oiran. Dude was fucking locked in during the battle and couldn't act. After the battle ends he runs into her again and he knows shes not gonna fall for it if he does it to her. Robin gives him an out as well and she gets the hint that he's leaving becuase he likes robin more.sane with pudding. He stopped acting after she fell for him too. He does make some faces afterwards but it's probably because he finds her cute in how shes trying to hide it.,hot_take
"Big News Morgans has a secret identity in his human form, and uses it to get much of his intel. This secret identity is a named character the readers know, but doesn't know is Morgans. Sort of like Bruce Wayne and Batman",hot_take
Enell is coming back from the moon with aliens,hot_take
"The Elders aren’t devil fruit eaters, they’re something else. Oda even introduced them with monster names instead of DF titles",hot_take
"Garp actually encouraged Dragon to start the RA after God Valley and has been his inside man in the Marines since then, by supplying info and subtly sabotaging operations where he is involved. That’d be a big enough twist to make Garp not evil, and paint his inaction in a wholly different (and a lot better) light.",hot_take
"Buggy will be king of the pirates, albeit a very brief amount of time.",hot_take
Zorro taking luffy's pain was chilling,reaction
"This is the most valid take. Luffy was clearly superior but, until he manages his stamina, Kizaru could take him down playing smart. Kizaru just wouldn't want to try to take Luffy man to man in a flat out brawl.",analysis
I would disagree here. People will say ‘match up diff’ is the only reason Luffy lost but that isn’t a fair point. Kizaru is a really fucking bad matchup for 90% of the verse when he actually fights properly and at that point it stops becoming a matchup diff and becomes a skill issue for his opponents.,analysis
"Haki -garp . He only uses his fist so logically his haki should be greater especially the armament Endurance -whitebeard . Look at their old age damage difference. Durability -equal . Id say they have no durability feat that puts the other above the latter . Garp could maybe be argued as more durable due to his superior armament . Speed -garp . Going off their old selves again her for scaling , oldbeard was kinda slow even if it was due to his age . Whilst old garp outpaced kuzan on several occasions . Physical prowess - whitebeard . I believe due to whitebeards stature and the feats he has shown he gotta edge Garp out slightly , Garp is a normal human whilst whitebeard could very well be a buccaneer. Ap - Whitebeard . Having a supreme grade blade plus a devil fruit edges Garp out imo . Cutting attacks are more deadly than blunt force most of the time in the story. Dc- whitbeards . Power to destroy the world tremors etc no debate here. Battle iq -equal .same here nothing seen to put either above the other from my knowledge. Iq -equal . Haven’t seen anything that puts either above the former. Practice of their respective craft -garp . He earned his fists by hitting battleships like brannew mentioned . He is also the best h2h fighter in the old gen , being able to fight monsters that wield supreme graded blades with his bare fists. So in conclusion I believe primebeard in a fight edges out prime garp ",analysis
